description,industry,level,size,line_code,value
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Manufacturing,1,total,D0208,2037
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts","Food, beverage, & tobacco",2,total,D0208,435
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts","Textile, clothing, footwear, & leather",2,total,D0208,102
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Wood & paper product,2,total,D0208,249
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts","Printing, publishing, & recorded media",2,total,D0208,63
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts","Petroleum, coal, chemical, & associated product",2,total,D0208,150
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Non-metallic mineral product,2,total,D0208,63
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Metal product,2,total,D0208,306
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Transport and industrial machinery & equipment,2,total,D0208,426
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Other machinery & equipment,2,total,D0208,75
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Other manufacturing,2,total,D0208,162
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts","Electricity, gas, water, & waste services",1,total,D0208,66
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Construction,1,total,D0208,2208
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Wholesale trade,1,total,D0208,1251
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Machinery & equipment wholesaling,2,total,D0208,375
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Other wholesale trade,2,total,D0208,876
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Retail trade,1,total,D0208,2238
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Accommodation & food services,1,total,D0208,1719
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts","Transport, postal, & warehousing",1,total,D0208,423
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Information media & telecommunications,1,total,D0208,138
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Publishing,2,total,D0208,33
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Motion picture,2,total,D0208,69
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Telecommunications,2,total,D0208,33
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Financial & insurance services,1,total,D0208,192
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Finance,2,total,D0208,60
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Insurance,2,total,D0208,6
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Auxiliary,2,total,D0208,129
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts","Rental, hiring, & real estate services",1,total,D0208,357
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts","Professional, scientific, & technical services",1,total,D0208,1989
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Computer systems design,2,total,D0208,258
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Other professional scientific,2,total,D0208,1734
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Administrative & support services,1,total,D0208,480
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Education & training,1,total,D0208,399
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Health care & social assistance,1,total,D0208,693
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Arts & recreation services,1,total,D0208,117
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Other services,1,total,D0208,480
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",total,0,total,D0208,15591
Type of outstanding debt: other,total,0,6�19 employees,D0209,19200
Type of outstanding debt: other,total,0,20�49 employees,D0209,5226
Type of outstanding debt: other,total,0,50�99 employees,D0209,1629
Type of outstanding debt: other,total,0,100+ employees,D0209,1449
Type of outstanding debt: other,"Agriculture, forestry, & fishing",1,total,D0209,1716
Type of outstanding debt: other,Agriculture,2,total,D0209,957
Type of outstanding debt: other,Commercial fishing,2,total,D0209,24
Type of outstanding debt: other,Forestry & logging,2,total,D0209,147
Type of outstanding debt: other,"Agriculture, forestry, & fishing support services",2,total,D0209,588
Type of outstanding debt: other,Mining,1,total,D0209,75
Type of outstanding debt: other,Manufacturing,1,total,D0209,3309
Type of outstanding debt: other,"Food, beverage, & tobacco",2,total,D0209,723
Type of outstanding debt: other,"Textile, clothing, footwear, & leather",2,total,D0209,153
Type of outstanding debt: other,Wood & paper product,2,total,D0209,294
Type of outstanding debt: other,"Printing, publishing, & recorded media",2,total,D0209,126
Type of outstanding debt: other,"Petroleum, coal, chemical, & associated product",2,total,D0209,327
Type of outstanding debt: other,Non-metallic mineral product,2,total,D0209,126
Type of outstanding debt: other,Metal product,2,total,D0209,612
Type of outstanding debt: other,Transport and industrial machinery & equipment,2,total,D0209,564
Type of outstanding debt: other,Other machinery & equipment,2,total,D0209,138
Type of outstanding debt: other,Other manufacturing,2,total,D0209,252
Type of outstanding debt: other,"Electricity, gas, water, & waste services",1,total,D0209,123
Type of outstanding debt: other,Construction,1,total,D0209,3837
Type of outstanding debt: other,Wholesale trade,1,total,D0209,2013
Type of outstanding debt: other,Machinery & equipment wholesaling,2,total,D0209,615
Type of outstanding debt: other,Other wholesale trade,2,total,D0209,1395
Type of outstanding debt: other,Retail trade,1,total,D0209,3273
Type of outstanding debt: other,Accommodation & food services,1,total,D0209,3567
Type of outstanding debt: other,"Transport, postal, & warehousing",1,total,D0209,903
Type of outstanding debt: other,Information media & telecommunications,1,total,D0209,297
Type of outstanding debt: other,Publishing,2,total,D0209,114
Type of outstanding debt: other,Motion picture,2,total,D0209,111
Type of outstanding debt: other,Telecommunications,2,total,D0209,72
Type of outstanding debt: other,Financial & insurance services,1,total,D0209,384
Type of outstanding debt: other,Finance,2,total,D0209,129
Type of outstanding debt: other,Insurance,2,total,D0209,30
Type of outstanding debt: other,Auxiliary,2,total,D0209,228
Type of outstanding debt: other,"Rental, hiring, & real estate services",1,total,D0209,606
Type of outstanding debt: other,"Professional, scientific, & technical services",1,total,D0209,3195
Type of outstanding debt: other,Computer systems design,2,total,D0209,615
Type of outstanding debt: other,Other professional scientific,2,total,D0209,2580
Type of outstanding debt: other,Administrative & support services,1,total,D0209,1068
Type of outstanding debt: other,Education & training,1,total,D0209,621
Type of outstanding debt: other,Health care & social assistance,1,total,D0209,1533
Type of outstanding debt: other,Arts & recreation services,1,total,D0209,300
Type of outstanding debt: other,Other services,1,total,D0209,678
Type of outstanding debt: other,total,0,total,D0209,27501
Collateral for financing: business assets: yes,total,0,6�19 employees,D0301.01,8886
Collateral for financing: business assets: yes,total,0,20�49 employees,D0301.01,3093
Collateral for financing: business assets: yes,total,0,50�99 employees,D0301.01,945
Collateral for financing: business assets: yes,total,0,100+ employees,D0301.01,678
Collateral for financing: business assets: yes,"Agriculture, forestry, & fishing",1,total,D0301.01,1785
Collateral for financing: business assets: yes,Agriculture,2,total,D0301.01,1185
Collateral for financing: business assets: yes,Commercial fishing,2,total,D0301.01,15
Collateral for financing: business assets: yes,Forestry & logging,2,total,D0301.01,192
Collateral for financing: business assets: yes,"Agriculture, forestry, & fishing support services",2,total,D0301.01,393
Collateral for financing: business assets: yes,Mining,1,total,D0301.01,36
Collateral for financing: business assets: yes,Manufacturing,1,total,D0301.01,1785
Collateral for financing: business assets: yes,"Food, beverage, & tobacco",2,total,D0301.01,429
Collateral for financing: business assets: yes,"Textile, clothing, footwear, & leather",2,total,D0301.01,78
Collateral for financing: business assets: yes,Wood & paper product,2,total,D0301.01,222
Collateral for financing: business assets: yes,"Printing, publishing, & recorded media",2,total,D0301.01,45
Collateral for financing: business assets: yes,"Petroleum, coal, chemical, & associated product",2,total,D0301.01,102
Collateral for financing: business assets: yes,Non-metallic mineral product,2,total,D0301.01,66
Collateral for financing: business assets: yes,Metal product,2,total,D0301.01,321
Collateral for financing: business assets: yes,Transport and industrial machinery & equipment,2,total,D0301.01,342
Collateral for financing: business assets: yes,Other machinery & equipment,2,total,D0301.01,57
Collateral for financing: business assets: yes,Other manufacturing,2,total,D0301.01,123
Collateral for financing: business assets: yes,"Electricity, gas, water, & waste services",1,total,D0301.01,81
Collateral for financing: business assets: yes,Construction,1,total,D0301.01,2094
Collateral for financing: business assets: yes,Wholesale trade,1,total,D0301.01,1035
Collateral for financing: business assets: yes,Machinery & equipment wholesaling,2,total,D0301.01,201
Collateral for financing: business assets: yes,Other wholesale trade,2,total,D0301.01,831
Collateral for financing: business assets: yes,Retail trade,1,total,D0301.01,1656
Collateral for financing: business assets: yes,Accommodation & food services,1,total,D0301.01,1368
Collateral for financing: business assets: yes,"Transport, postal, & warehousing",1,total,D0301.01,771
Collateral for financing: business assets: yes,Information media & telecommunications,1,total,D0301.01,45
Collateral for financing: business assets: yes,Publishing,2,total,D0301.01,9
Collateral for financing: business assets: yes,Motion picture,2,total,D0301.01,12
Collateral for financing: business assets: yes,Telecommunications,2,total,D0301.01,21
Collateral for financing: business assets: yes,Financial & insurance services,1,total,D0301.01,168
Collateral for financing: business assets: yes,Finance,2,total,D0301.01,75
Collateral for financing: business assets: yes,Insurance,2,total,D0301.01,0
Collateral for financing: business assets: yes,Auxiliary,2,total,D0301.01,93
Collateral for financing: business assets: yes,"Rental, hiring, & real estate services",1,total,D0301.01,342
Collateral for financing: business assets: yes,"Professional, scientific, & technical services",1,total,D0301.01,777
Collateral for financing: business assets: yes,Computer systems design,2,total,D0301.01,45
Collateral for financing: business assets: yes,Other professional scientific,2,total,D0301.01,732
Collateral for financing: business assets: yes,Administrative & support services,1,total,D0301.01,303
Collateral for financing: business assets: yes,Education & training,1,total,D0301.01,243
Collateral for financing: business assets: yes,Health care & social assistance,1,total,D0301.01,648
Collateral for financing: business assets: yes,Arts & recreation services,1,total,D0301.01,177
Collateral for financing: business assets: yes,Other services,1,total,D0301.01,288
Collateral for financing: business assets: yes,total,0,total,D0301.01,13605
Collateral for financing: business assets: no,total,0,6�19 employees,D0301.02,26430
Collateral for financing: business assets: no,total,0,20�49 employees,D0301.02,5181
Collateral for financing: business assets: no,total,0,50�99 employees,D0301.02,1494
Collateral for financing: business assets: no,total,0,100+ employees,D0301.02,1230
Collateral for financing: business assets: no,"Agriculture, forestry, & fishing",1,total,D0301.02,1965
Collateral for financing: business assets: no,Agriculture,2,total,D0301.02,1260
Collateral for financing: business assets: no,Commercial fishing,2,total,D0301.02,33
Collateral for financing: business assets: no,Forestry & logging,2,total,D0301.02,81
Collateral for financing: business assets: no,"Agriculture, forestry, & fishing support services",2,total,D0301.02,591
Collateral for financing: business assets: no,Mining,1,total,D0301.02,75
Collateral for financing: business assets: no,Manufacturing,1,total,D0301.02,3672
Collateral for financing: business assets: no,"Food, beverage, & tobacco",2,total,D0301.02,798
Collateral for financing: business assets: no,"Textile, clothing, footwear, & leather",2,total,D0301.02,189
Collateral for financing: business assets: no,Wood & paper product,2,total,D0301.02,309
Collateral for financing: business assets: no,"Printing, publishing, & recorded media",2,total,D0301.02,165
Collateral for financing: business assets: no,"Petroleum, coal, chemical, & associated product",2,total,D0301.02,348
Collateral for financing: business assets: no,Non-metallic mineral product,2,total,D0301.02,135
Collateral for financing: business assets: no,Metal product,2,total,D0301.02,681
Collateral for financing: business assets: no,Transport and industrial machinery & equipment,2,total,D0301.02,597
Collateral for financing: business assets: no,Other machinery & equipment,2,total,D0301.02,183
Collateral for financing: business assets: no,Other manufacturing,2,total,D0301.02,261
Collateral for financing: business assets: no,"Electricity, gas, water, & waste services",1,total,D0301.02,126
Collateral for financing: business assets: no,Construction,1,total,D0301.02,5094
Collateral for financing: business assets: no,Wholesale trade,1,total,D0301.02,2148
Collateral for financing: business assets: no,Machinery & equipment wholesaling,2,total,D0301.02,735
Collateral for financing: business assets: no,Other wholesale trade,2,total,D0301.02,1413
Collateral for financing: business assets: no,Retail trade,1,total,D0301.02,3339
Collateral for financing: business assets: no,Accommodation & food services,1,total,D0301.02,5295
Collateral for financing: business assets: no,"Transport, postal, & warehousing",1,total,D0301.02,870
Collateral for financing: business assets: no,Information media & telecommunications,1,total,D0301.02,384
Collateral for financing: business assets: no,Publishing,2,total,D0301.02,156
Collateral for financing: business assets: no,Motion picture,2,total,D0301.02,123
Collateral for financing: business assets: no,Telecommunications,2,total,D0301.02,102
Collateral for financing: business assets: no,Financial & insurance services,1,total,D0301.02,477
Collateral for financing: business assets: no,Finance,2,total,D0301.02,117
Collateral for financing: business assets: no,Insurance,2,total,D0301.02,36
Collateral for financing: business assets: no,Auxiliary,2,total,D0301.02,327
Collateral for financing: business assets: no,"Rental, hiring, & real estate services",1,total,D0301.02,663
Collateral for financing: business assets: no,"Professional, scientific, & technical services",1,total,D0301.02,4239
Collateral for financing: business assets: no,Computer systems design,2,total,D0301.02,903
Collateral for financing: business assets: no,Other professional scientific,2,total,D0301.02,3339
Collateral for financing: business assets: no,Administrative & support services,1,total,D0301.02,1434
Collateral for financing: business assets: no,Education & training,1,total,D0301.02,894
Collateral for financing: business assets: no,Health care & social assistance,1,total,D0301.02,2187
Collateral for financing: business assets: no,Arts & recreation services,1,total,D0301.02,363
Collateral for financing: business assets: no,Other services,1,total,D0301.02,1107
Collateral for financing: business assets: no,total,0,total,D0301.02,34335
Collateral for financing: personal assets: yes,total,0,6�19 employees,D0302.01,8274
Collateral for financing: personal assets: yes,total,0,20�49 employees,D0302.01,1800
Collateral for financing: personal assets: yes,total,0,50�99 employees,D0302.01,333
Collateral for financing: personal assets: yes,total,0,100+ employees,D0302.01,165
Collateral for financing: personal assets: yes,"Agriculture, forestry, & fishing",1,total,D0302.01,645
Collateral for financing: personal assets: yes,Agriculture,2,total,D0302.01,417
Collateral for financing: personal assets: yes,Commercial fishing,2,total,D0302.01,12
Collateral for financing: personal assets: yes,Forestry & logging,2,total,D0302.01,60
Collateral for financing: personal assets: yes,"Agriculture, forestry, & fishing support services",2,total,D0302.01,156
Collateral for financing: personal assets: yes,Mining,1,total,D0302.01,15
Collateral for financing: personal assets: yes,Manufacturing,1,total,D0302.01,1110
Collateral for financing: personal assets: yes,"Food, beverage, & tobacco",2,total,D0302.01,195
Collateral for financing: personal assets: yes,"Textile, clothing, footwear, & leather",2,total,D0302.01,63
Collateral for financing: personal assets: yes,Wood & paper product,2,total,D0302.01,111
Collateral for financing: personal assets: yes,"Printing, publishing, & recorded media",2,total,D0302.01,42
Collateral for financing: personal assets: yes,"Petroleum, coal, chemical, & associated product",2,total,D0302.01,66
Collateral for financing: personal assets: yes,Non-metallic mineral product,2,total,D0302.01,45
Collateral for financing: personal assets: yes,Metal product,2,total,D0302.01,189
Collateral for financing: personal assets: yes,Transport and industrial machinery & equipment,2,total,D0302.01,246
Collateral for financing: personal assets: yes,Other machinery & equipment,2,total,D0302.01,39
Collateral for financing: personal assets: yes,Other manufacturing,2,total,D0302.01,117
Collateral for financing: personal assets: yes,"Electricity, gas, water, & waste services",1,total,D0302.01,30
Collateral for financing: personal assets: yes,Construction,1,total,D0302.01,1656
Collateral for financing: personal assets: yes,Wholesale trade,1,total,D0302.01,612
Collateral for financing: personal assets: yes,Machinery & equipment wholesaling,2,total,D0302.01,159
Collateral for financing: personal assets: yes,Other wholesale trade,2,total,D0302.01,450
Collateral for financing: personal assets: yes,Retail trade,1,total,D0302.01,1617
Collateral for financing: personal assets: yes,Accommodation & food services,1,total,D0302.01,1785
Collateral for financing: personal assets: yes,"Transport, postal, & warehousing",1,total,D0302.01,303
Collateral for financing: personal assets: yes,Information media & telecommunications,1,total,D0302.01,60
Collateral for financing: personal assets: yes,Publishing,2,total,D0302.01,24
Collateral for financing: personal assets: yes,Motion picture,2,total,D0302.01,18
Collateral for financing: personal assets: yes,Telecommunications,2,total,D0302.01,15
Collateral for financing: personal assets: yes,Financial & insurance services,1,total,D0302.01,72
Collateral for financing: personal assets: yes,Finance,2,total,D0302.01,15
Collateral for financing: personal assets: yes,Insurance,2,total,D0302.01,0
Collateral for financing: personal assets: yes,Auxiliary,2,total,D0302.01,60
Collateral for financing: personal assets: yes,"Rental, hiring, & real estate services",1,total,D0302.01,255
Collateral for financing: personal assets: yes,"Professional, scientific, & technical services",1,total,D0302.01,816
Collateral for financing: personal assets: yes,Computer systems design,2,total,D0302.01,54
Collateral for financing: personal assets: yes,Other professional scientific,2,total,D0302.01,765
Collateral for financing: personal assets: yes,Administrative & support services,1,total,D0302.01,264
Collateral for financing: personal assets: yes,Education & training,1,total,D0302.01,273
Collateral for financing: personal assets: yes,Health care & social assistance,1,total,D0302.01,594
Collateral for financing: personal assets: yes,Arts & recreation services,1,total,D0302.01,108
Collateral for financing: personal assets: yes,Other services,1,total,D0302.01,348
Collateral for financing: personal assets: yes,total,0,total,D0302.01,10572
Collateral for financing: personal assets: no,total,0,6�19 employees,D0302.02,27042
Collateral for financing: personal assets: no,total,0,20�49 employees,D0302.02,6450
Collateral for financing: personal assets: no,total,0,50�99 employees,D0302.02,2100
Collateral for financing: personal assets: no,total,0,100+ employees,D0302.02,1743
Collateral for financing: personal assets: no,"Agriculture, forestry, & fishing",1,total,D0302.02,3096
Collateral for financing: personal assets: no,Agriculture,2,total,D0302.02,2019
Collateral for financing: personal assets: no,Commercial fishing,2,total,D0302.02,39
Collateral for financing: personal assets: no,Forestry & logging,2,total,D0302.02,210
Collateral for financing: personal assets: no,"Agriculture, forestry, & fishing support services",2,total,D0302.02,828
Collateral for financing: personal assets: no,Mining,1,total,D0302.02,96
Collateral for financing: personal assets: no,Manufacturing,1,total,D0302.02,4344
Collateral for financing: personal assets: no,"Food, beverage, & tobacco",2,total,D0302.02,1032
Collateral for financing: personal assets: no,"Textile, clothing, footwear, & leather",2,total,D0302.02,204
Collateral for financing: personal assets: no,Wood & paper product,2,total,D0302.02,420
Collateral for financing: personal assets: no,"Printing, publishing, & recorded media",2,total,D0302.02,171
Collateral for financing: personal assets: no,"Petroleum, coal, chemical, & associated product",2,total,D0302.02,384
Collateral for financing: personal assets: no,Non-metallic mineral product,2,total,D0302.02,156
Collateral for financing: personal assets: no,Metal product,2,total,D0302.02,813
Collateral for financing: personal assets: no,Transport and industrial machinery & equipment,2,total,D0302.02,690
Collateral for financing: personal assets: no,Other machinery & equipment,2,total,D0302.02,201
Collateral for financing: personal assets: no,Other manufacturing,2,total,D0302.02,270
Collateral for financing: personal assets: no,"Electricity, gas, water, & waste services",1,total,D0302.02,177
Collateral for financing: personal assets: no,Construction,1,total,D0302.02,5511
Collateral for financing: personal assets: no,Wholesale trade,1,total,D0302.02,2571
Collateral for financing: personal assets: no,Machinery & equipment wholesaling,2,total,D0302.02,777
Collateral for financing: personal assets: no,Other wholesale trade,2,total,D0302.02,1794
Collateral for financing: personal assets: no,Retail trade,1,total,D0302.02,3378
Collateral for financing: personal assets: no,Accommodation & food services,1,total,D0302.02,4878
Collateral for financing: personal assets: no,"Transport, postal, & warehousing",1,total,D0302.02,1338
Collateral for financing: personal assets: no,Information media & telecommunications,1,total,D0302.02,369
Collateral for financing: personal assets: no,Publishing,2,total,D0302.02,144
Collateral for financing: personal assets: no,Motion picture,2,total,D0302.02,117
Collateral for financing: personal assets: no,Telecommunications,2,total,D0302.02,108
Collateral for financing: personal assets: no,Financial & insurance services,1,total,D0302.02,573
Collateral for financing: personal assets: no,Finance,2,total,D0302.02,177
Collateral for financing: personal assets: no,Insurance,2,total,D0302.02,36
Collateral for financing: personal assets: no,Auxiliary,2,total,D0302.02,363
Collateral for financing: personal assets: no,"Rental, hiring, & real estate services",1,total,D0302.02,750
Collateral for financing: personal assets: no,"Professional, scientific, & technical services",1,total,D0302.02,4200
Collateral for financing: personal assets: no,Computer systems design,2,total,D0302.02,894
Collateral for financing: personal assets: no,Other professional scientific,2,total,D0302.02,3306
Collateral for financing: personal assets: no,Administrative & support services,1,total,D0302.02,1476
Collateral for financing: personal assets: no,Education & training,1,total,D0302.02,861
Collateral for financing: personal assets: no,Health care & social assistance,1,total,D0302.02,2238
Collateral for financing: personal assets: no,Arts & recreation services,1,total,D0302.02,429
Collateral for financing: personal assets: no,Other services,1,total,D0302.02,1044
Collateral for financing: personal assets: no,total,0,total,D0302.02,37338
Changes in credit facilities: overdraft/credit limits: decreased,total,0,6�19 employees,D0401.01,1959
Changes in credit facilities: overdraft/credit limits: decreased,total,0,20�49 employees,D0401.01,396
Changes in credit facilities: overdraft/credit limits: decreased,total,0,50�99 employees,D0401.01,111
Changes in credit facilities: overdraft/credit limits: decreased,total,0,100+ employees,D0401.01,117
Changes in credit facilities: overdraft/credit limits: decreased,"Agriculture, forestry, & fishing",1,total,D0401.01,441
Changes in credit facilities: overdraft/credit limits: decreased,Agriculture,2,total,D0401.01,372
Changes in credit facilities: overdraft/credit limits: decreased,Commercial fishing,2,total,D0401.01,0
Changes in credit facilities: overdraft/credit limits: decreased,Forestry & logging,2,total,D0401.01,3
Changes in credit facilities: overdraft/credit limits: decreased,"Agriculture, forestry, & fishing support services",2,total,D0401.01,66
Changes in credit facilities: overdraft/credit limits: decreased,Mining,1,total,D0401.01,6
Changes in credit facilities: overdraft/credit limits: decreased,Manufacturing,1,total,D0401.01,285
Changes in credit facilities: overdraft/credit limits: decreased,"Food, beverage, & tobacco",2,total,D0401.01,51
Changes in credit facilities: overdraft/credit limits: decreased,"Textile, clothing, footwear, & leather",2,total,D0401.01,24
Changes in credit facilities: overdraft/credit limits: decreased,Wood & paper product,2,total,D0401.01,57
Changes in credit facilities: overdraft/credit limits: decreased,"Printing, publishing, & recorded media",2,total,D0401.01,3
Changes in credit facilities: overdraft/credit limits: decreased,"Petroleum, coal, chemical, & associated product",2,total,D0401.01,6
Changes in credit facilities: overdraft/credit limits: decreased,Non-metallic mineral product,2,total,D0401.01,12
Changes in credit facilities: overdraft/credit limits: decreased,Metal product,2,total,D0401.01,54
Changes in credit facilities: overdraft/credit limits: decreased,Transport and industrial machinery & equipment,2,total,D0401.01,42
Changes in credit facilities: overdraft/credit limits: decreased,Other machinery & equipment,2,total,D0401.01,15
Changes in credit facilities: overdraft/credit limits: decreased,Other manufacturing,2,total,D0401.01,18
Changes in credit facilities: overdraft/credit limits: decreased,"Electricity, gas, water, & waste services",1,total,D0401.01,9
Changes in credit facilities: overdraft/credit limits: decreased,Construction,1,total,D0401.01,123
Changes in credit facilities: overdraft/credit limits: decreased,Wholesale trade,1,total,D0401.01,135
Changes in credit facilities: overdraft/credit limits: decreased,Machinery & equipment wholesaling,2,total,D0401.01,60
Changes in credit facilities: overdraft/credit limits: decreased,Other wholesale trade,2,total,D0401.01,75
Changes in credit facilities: overdraft/credit limits: decreased,Retail trade,1,total,D0401.01,582
Changes in credit facilities: overdraft/credit limits: decreased,Accommodation & food services,1,total,D0401.01,237
Changes in credit facilities: overdraft/credit limits: decreased,"Transport, postal, & warehousing",1,total,D0401.01,27
Changes in credit facilities: overdraft/credit limits: decreased,Information media & telecommunications,1,total,D0401.01,24
Changes in credit facilities: overdraft/credit limits: decreased,Publishing,2,total,D0401.01,12
Changes in credit facilities: overdraft/credit limits: decreased,Motion picture,2,total,D0401.01,3
Changes in credit facilities: overdraft/credit limits: decreased,Telecommunications,2,total,D0401.01,6
Changes in credit facilities: overdraft/credit limits: decreased,Financial & insurance services,1,total,D0401.01,18
Changes in credit facilities: overdraft/credit limits: decreased,Finance,2,total,D0401.01,15
Changes in credit facilities: overdraft/credit limits: decreased,Insurance,2,total,D0401.01,0
Changes in credit facilities: overdraft/credit limits: decreased,Auxiliary,2,total,D0401.01,6
Changes in credit facilities: overdraft/credit limits: decreased,"Rental, hiring, & real estate services",1,total,D0401.01,90
Changes in credit facilities: overdraft/credit limits: decreased,"Professional, scientific, & technical services",1,total,D0401.01,273
Changes in credit facilities: overdraft/credit limits: decreased,Computer systems design,2,total,D0401.01,33
Changes in credit facilities: overdraft/credit limits: decreased,Other professional scientific,2,total,D0401.01,243
Changes in credit facilities: overdraft/credit limits: decreased,Administrative & support services,1,total,D0401.01,90
Changes in credit facilities: overdraft/credit limits: decreased,Education & training,1,total,D0401.01,33
Changes in credit facilities: overdraft/credit limits: decreased,Health care & social assistance,1,total,D0401.01,93
Changes in credit facilities: overdraft/credit limits: decreased,Arts & recreation services,1,total,D0401.01,21
Changes in credit facilities: overdraft/credit limits: decreased,Other services,1,total,D0401.01,84
Changes in credit facilities: overdraft/credit limits: decreased,total,0,total,D0401.01,2583
Changes in credit facilities: overdraft/credit limits: stayed the same,total,0,6�19 employees,D0401.02,20880
Changes in credit facilities: overdraft/credit limits: stayed the same,total,0,20�49 employees,D0401.02,4800
Changes in credit facilities: overdraft/credit limits: stayed the same,total,0,50�99 employees,D0401.02,1389
Changes in credit facilities: overdraft/credit limits: stayed the same,total,0,100+ employees,D0401.02,1149
Changes in credit facilities: overdraft/credit limits: stayed the same,"Agriculture, forestry, & fishing",1,total,D0401.02,2160
Changes in credit facilities: overdraft/credit limits: stayed the same,Agriculture,2,total,D0401.02,1485
Changes in credit facilities: overdraft/credit limits: stayed the same,Commercial fishing,2,total,D0401.02,30
Changes in credit facilities: overdraft/credit limits: stayed the same,Forestry & logging,2,total,D0401.02,174
Changes in credit facilities: overdraft/credit limits: stayed the same,"Agriculture, forestry, & fishing support services",2,total,D0401.02,471
Changes in credit facilities: overdraft/credit limits: stayed the same,Mining,1,total,D0401.02,60
Changes in credit facilities: overdraft/credit limits: stayed the same,Manufacturing,1,total,D0401.02,3132
Changes in credit facilities: overdraft/credit limits: stayed the same,"Food, beverage, & tobacco",2,total,D0401.02,705
Changes in credit facilities: overdraft/credit limits: stayed the same,"Textile, clothing, footwear, & leather",2,total,D0401.02,165
Changes in credit facilities: overdraft/credit limits: stayed the same,Wood & paper product,2,total,D0401.02,267
Changes in credit facilities: overdraft/credit limits: stayed the same,"Printing, publishing, & recorded media",2,total,D0401.02,153
Changes in credit facilities: overdraft/credit limits: stayed the same,"Petroleum, coal, chemical, & associated product",2,total,D0401.02,243
Changes in credit facilities: overdraft/credit limits: stayed the same,Non-metallic mineral product,2,total,D0401.02,129
Changes in credit facilities: overdraft/credit limits: stayed the same,Metal product,2,total,D0401.02,507
Changes in credit facilities: overdraft/credit limits: stayed the same,Transport and industrial machinery & equipment,2,total,D0401.02,570
Changes in credit facilities: overdraft/credit limits: stayed the same,Other machinery & equipment,2,total,D0401.02,120
Changes in credit facilities: overdraft/credit limits: stayed the same,Other manufacturing,2,total,D0401.02,270
Changes in credit facilities: overdraft/credit limits: stayed the same,"Electricity, gas, water, & waste services",1,total,D0401.02,126
Changes in credit facilities: overdraft/credit limits: stayed the same,Construction,1,total,D0401.02,4548
Changes in credit facilities: overdraft/credit limits: stayed the same,Wholesale trade,1,total,D0401.02,1707
Changes in credit facilities: overdraft/credit limits: stayed the same,Machinery & equipment wholesaling,2,total,D0401.02,522
Changes in credit facilities: overdraft/credit limits: stayed the same,Other wholesale trade,2,total,D0401.02,1182
Changes in credit facilities: overdraft/credit limits: stayed the same,Retail trade,1,total,D0401.02,2940
Changes in credit facilities: overdraft/credit limits: stayed the same,Accommodation & food services,1,total,D0401.02,3810
Changes in credit facilities: overdraft/credit limits: stayed the same,"Transport, postal, & warehousing",1,total,D0401.02,957
Changes in credit facilities: overdraft/credit limits: stayed the same,Information media & telecommunications,1,total,D0401.02,255
Changes in credit facilities: overdraft/credit limits: stayed the same,Publishing,2,total,D0401.02,93
Changes in credit facilities: overdraft/credit limits: stayed the same,Motion picture,2,total,D0401.02,96
Changes in credit facilities: overdraft/credit limits: stayed the same,Telecommunications,2,total,D0401.02,63
Changes in credit facilities: overdraft/credit limits: stayed the same,Financial & insurance services,1,total,D0401.02,348
